"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"50","chaman",6.23566036729274,1,66.44,30.92,66.4061111,30.8719444,"nazar"
"51","chambar",33.6628156732913,1,68.82,25.3,68.4869861,25.2739885,"nooriabad"
"52","chawinda",16.750040499219,1,74.7,32.35,74.8525407,32.2723183,"mandar"
"53","cherat",1.01042838938659,1,71.88,33.82,71.8904844,33.8225317,"cherak"
"54","chichawatni",16.2881777916136,1,72.68,30.53,72.7555249,30.3984451,"ghaziabad"
"55","chishtianmandi",28.3966706253175,1,72.84,29.79,72.5910919,29.9262034,"ahmadabad"
"56","chitral",36.7055998230518,1,71.75,36.02,72.1416132,36.1112975,"chitraldistrict"
"57","choasaidanshah",10.3387802590643,1,72.98,32.72,73.0117665,32.630728,"khawra"
"58","choharjamali",7.69405066477671,1,67.98,24.4,68.0274404,24.3458064,"sarwekai"
"59","chor",34.1831208223742,1,69.77,25.52,69.5802999,25.2640251,"murtazagoth"
"60","chuharkana",16.0695873683534,1,73.82,31.75,73.9850243,31.7166617,"sheikhpura"
"61","chuharkana",16.0695873683534,1,73.82,31.75,73.9850243,31.7166617,"sheikhupura"
"62","chuharkana",16.0695873683534,1,73.82,31.75,73.9850243,31.7166617,"seikhupura"
"63","chuharkana",16.0695873683534,1,73.82,31.75,73.9850243,31.7166617,"shiekhutar"
"64","chuharkana",16.0695873683534,1,73.82,31.75,73.9850243,31.7166617,"sheikhurpura"
"65","chunian",16.6154496681373,1,73.97,30.97,73.9697795,30.8201327,"thing"
"66","dadu",22.2757652795415,1,67.77,26.73,67.5708536,26.6382554,"dadudistrict"
"67","daharki",14.8172676663913,1,69.7,28.05,69.552937,28.0208426,"mirpurmathilo"
"68","dajal",36.4505924973437,1,70.38,29.55,70.0067697,29.5910381,"bandagi"
"69","dalbandin",2.305908857874,1,64.44,28.88,64.416667,28.883333,"dalbadin"
"70","dalbandin",2.305908857874,1,64.44,28.88,64.416667,28.883333,"dalbandindistrict"
"71","daro",10.2856485849175,1,68.18,24.78,68.2619753,24.7250574,"sodher"
"72","daryakhan",0.694981664086446,1,71.1,31.79,71.107222,31.791111,"deryakhan"
"73","daryakhanmari",20.7571509996368,1,68.28,26.68,68.1336554,26.8135409,"nausheroferoz"
"74","daudkhel",33.183461481716,1,71.56,32.88,71.458878,33.1668235,"kamarsar"
"75","daulatpur",27.1904675673652,1,67.96,26.51,68.1028983,26.3010283,"qaziahmad"
